token,symbol,name,expiry,lotsize,tick_size
568830,ALUMINIUM31AUG26FUT,ALUMINIUM,31AUG2026,5,5.000000
568831,COPPER31AUG26FUT,COPPER,31AUG2026,2500,5.000000
565899,CRUDEOIL21SEP26FUT,CRUDEOIL,21SEP2026,100,100.000000
483079,GOLD05OCT26FUT,GOLD,05OCT2026,1,100.000000
563946,GOLDM04SEP26FUT,GOLDM,04SEP2026,100,100.000000
568833,LEAD31AUG26FUT,LEAD,31AUG2026,5,5.000000
561496,NATURALGAS26AUG26FUT,NATURALGAS,26AUG2026,1250,10.000000
571304,NICKEL16SEP26FUT,NICKEL,16SEP2026,250,10.000000
471725,SILVER04SEP26FUT,SILVER,04SEP2026,30,100.000000
471726,SILVERM31AUG26FUT,SILVERM,31AUG2026,5,100.000000
568836,ZINC31AUG26FUT,ZINC,31AUG2026,5,5.000000
