token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,freeze_qty,is_cas_enabled
1011,SCHAEFFLER-EQ,SCHAEFFLER,,-1.000000,1,,NSE,10.000000,24227,False
10243,SYNGENE-EQ,SYNGENE,,-1.000000,1,,NSE,5.000000,244623,False
10285,AYMSYNTEX-EQ,AYMSYNTEX,,-1.000000,1,,NSE,5.000000,394941,False
10321,PKTEA-EQ,PKTEA,,-1.000000,1,,NSE,5.000000,101235,False
10350,CSLFINANCE-EQ,CSLFINANCE,,-1.000000,1,,NSE,1.000000,446060,False
10440,LUPIN-EQ,LUPIN,,-1.000000,1,,NSE,10.000000,43437,True
10693,MOMENTUM-EQ,MOMENTUM,,-1.000000,1,,NSE,1.000000,412696,False
10726,INDIAMART-EQ,INDIAMART,,-1.000000,1,,NSE,10.000000,55993,False
10794,CANBK-EQ,CANBK,,-1.000000,1,,NSE,1.000000,752864,True
10922,OMAXAUTO-EQ,OMAXAUTO,,-1.000000,1,,NSE,1.000000,482433,False
10945,TMB-EQ,TMB,,-1.000000,1,,NSE,5.000000,116388,False
11050,SIRCA-EQ,SIRCA,,-1.000000,1,,NSE,5.000000,229386,False
11287,UPL-EQ,UPL,,-1.000000,1,,NSE,5.000000,174743,True
11293,UNIENTER-EQ,UNIENTER,,-1.000000,1,,NSE,1.000000,1030043,False
11319,LICNETFN50-EQ,LICNETFN50,,-1.000000,1,,NSE,1.000000,363989,False
11496,AMBICAAGAR-EQ,AMBICAAGAR,,-1.000000,1,,NSE,1.000000,561700,False
1156,GLFL-EQ,GLFL,,-1.000000,1,,NSE,1.000000,887012,False
11689,SUPRAJIT-EQ,SUPRAJIT,,-1.000000,1,,NSE,5.000000,190942,False
1174,GNFC-EQ,GNFC,,-1.000000,1,,NSE,5.000000,181471,False
11723,JSWSTEEL-EQ,JSWSTEEL,,-1.000000,1,,NSE,10.000000,78254,True
11794,SAKSOFT-EQ,SAKSOFT,,-1.000000,1,,NSE,1.000000,613447,False
11821,WELCORP-EQ,WELCORP,,-1.000000,1,,NSE,10.000000,53285,False
11892,VHL-EQ,VHL,,-1.000000,1,,NSE,10.000000,28463,False
10238,CONFIPET-EQ,CONFIPET,,-1.000000,1,,NSE,1.000000,1354546,False
1200,ESG-EQ,ESG,,-1.000000,1,,NSE,1.000000,772971,False
11999,FCSSOFT-EQ,FCSSOFT,,-1.000000,1,,NSE,1.000000,55902386,False
1030,AARON-EQ,AARON,,-1.000000,1,,NSE,1.000000,684949,False
10276,KAYA-EQ,KAYA,,-1.000000,1,,NSE,5.000000,326047,False
12000,FAZE3Q-EQ,FAZE3Q,,-1.000000,1,,NSE,5.000000,184143,False
12022,AURIONPRO-EQ,AURIONPRO,,-1.000000,1,,NSE,5.000000,139093,False
12032,FIVESTAR-EQ,FIVESTAR,,-1.000000,1,,NSE,5.000000,180354,False
1041,FINPIPE-EQ,FINPIPE,,-1.000000,1,,NSE,1.000000,619235,False
12092,KAYNES-EQ,KAYNES,,-1.000000,1,,NSE,10.000000,26076,True
10457,ARVSMART-EQ,ARVSMART,,-1.000000,1,,NSE,5.000000,150214,False
12124,DOLATALGO-EQ,DOLATALGO,,-1.000000,1,,NSE,1.000000,1432288,False
10508,MOHEALTH-EQ,MOHEALTH,,-1.000000,1,,NSE,1.000000,280092,False
1235,GREAVESCOT-EQ,GREAVESCOT,,-1.000000,1,,NSE,1.000000,515987,False
10557,NAVKARCORP-EQ,NAVKARCORP,,-1.000000,1,,NSE,1.000000,999447,False
10577,KRBL-EQ,KRBL,,-1.000000,1,,NSE,5.000000,267801,False
12533,AAATECH-EQ,AAATECH,,-1.000000,1,,NSE,1.000000,419436,False
10676,MNC-EQ,MNC,,-1.000000,1,,NSE,1.000000,446533,False
10723,INFRAIETF-EQ,INFRAIETF,,-1.000000,1,,NSE,1.000000,1034729,False
12841,11NSETEST-EQ,11NSETEST,,-1.000000,1,,NSE,5.000000,1052600,False
11045,SATIA-EQ,SATIA,,-1.000000,1,,NSE,1.000000,1625200,False
13061,360ONE-EQ,360ONE,,-1.000000,1,,NSE,10.000000,85768,True
13121,KERNEX-EQ,KERNEX,,-1.000000,1,,NSE,10.000000,46072,False
10948,STCINDIA-EQ,STCINDIA,,-1.000000,1,,NSE,1.000000,852000,False
11262,IGL-EQ,IGL,,-1.000000,1,,NSE,1.000000,646800,False
1139,GICHSGFIN-EQ,GICHSGFIN,,-1.000000,1,,NSE,1.000000,669261,False
11301,LUXIND-EQ,LUXIND,,-1.000000,1,,NSE,10.000000,82486,False
11355,PTC-EQ,PTC,,-1.000000,1,,NSE,1.000000,604448,False
11439,BANKBEES-EQ,BANKBEES,,-1.000000,1,,NSE,1.000000,167774,False
11491,APARINDS-EQ,APARINDS,,-1.000000,1,,NSE,100.000000,5544,False
11536,TCS-EQ,TCS,,-1.000000,1,,NSE,10.000000,39798,True
13536,VIDHIING-EQ,VIDHIING,,-1.000000,1,,NSE,5.000000,317500,False
13565,RAMANEWS-EQ,RAMANEWS,,-1.000000,1,,NSE,1.000000,2987616,False
11647,KOTARISUG-EQ,KOTARISUG,,-1.000000,1,,NSE,1.000000,2710456,False
13592,HGM-EQ,HGM,,-1.000000,1,,NSE,1.000000,411855,False
13643,ELECON-EQ,ELECON,,-1.000000,1,,NSE,5.000000,226419,False
13693,INFOMEDIA-EQ,INFOMEDIA,,-1.000000,1,,NSE,1.000000,1641349,False
1185,AMBER-EQ,AMBER,,-1.000000,1,,NSE,50.000000,14283,True
11798,ALLDIGI-EQ,ALLDIGI,,-1.000000,1,,NSE,5.000000,124299,False
13814,KAMOPAINTS-EQ,KAMOPAINTS,,-1.000000,1,,NSE,1.000000,10758300,False
11868,63MOONS-EQ,63MOONS,,-1.000000,1,,NSE,5.000000,115242,False
11905,GENUSPOWER-EQ,GENUSPOWER,,-1.000000,1,,NSE,5.000000,327669,False
13844,MMFL-EQ,MMFL,,-1.000000,1,,NSE,5.000000,157011,False
11919,MSPL-EQ,MSPL,,-1.000000,1,,NSE,1.000000,2867424,False
11983,SASKEN-EQ,SASKEN,,-1.000000,1,,NSE,10.000000,51907,False
14014,LUMAXTECH-EQ,LUMAXTECH,,-1.000000,1,,NSE,10.000000,49005,False
14019,VEEDOL-EQ,VEEDOL,,-1.000000,1,,NSE,10.000000,66071,False
12072,SCPL-EQ,SCPL,,-1.000000,1,,NSE,5.000000,153342,False
1412,AGI-EQ,AGI,,-1.000000,1,,NSE,5.000000,141622,False
14111,NETWORK18-EQ,NETWORK18,,-1.000000,1,,NSE,1.000000,3481836,False
14134,PITTIENG-EQ,PITTIENG,,-1.000000,1,,NSE,5.000000,95753,False
12219,RUSTOMJEE-EQ,RUSTOMJEE,,-1.000000,1,,NSE,5.000000,267124,False
14305,OSWALSEEDS-EQ,OSWALSEEDS,,-1.000000,1,,NSE,1.000000,2991069,False
14334,HSCL-EQ,HSCL,,-1.000000,1,,NSE,5.000000,130676,False
14361,APOLLOPIPE-EQ,APOLLOPIPE,,-1.000000,1,,NSE,5.000000,195001,False
14423,LAOPALA-EQ,LAOPALA,,-1.000000,1,,NSE,1.000000,526695,False
14428,GOLDBEES-EQ,GOLDBEES,,-1.000000,1,,NSE,1.000000,797299,False
14435,JKTYRE-EQ,JKTYRE,,-1.000000,1,,NSE,5.000000,258595,False
13001,DHARMAJ-EQ,DHARMAJ,,-1.000000,1,,NSE,5.000000,359130,False
13072,IIFLCAPS-EQ,IIFLCAPS,,-1.000000,1,,NSE,5.000000,298268,False
14602,WEBELSOLAR-EQ,WEBELSOLAR,,-1.000000,1,,NSE,1.000000,1172241,False
13143,GSEC10IETF-EQ,GSEC10IETF,,-1.000000,1,,NSE,1.000000,376746,False
14702,NAGREEKEXP-EQ,NAGREEKEXP,,-1.000000,1,,NSE,1.000000,1021850,False
13192,ENIL-EQ,ENIL,,-1.000000,1,,NSE,1.000000,986872,False
13290,BLKASHYAP-EQ,BLKASHYAP,,-1.000000,1,,NSE,1.000000,1900684,False
13342,VAKRANGEE-EQ,VAKRANGEE,,-1.000000,1,,NSE,1.000000,16805720,False
14761,NELCAST-EQ,NELCAST,,-1.000000,1,,NSE,1.000000,835385,False
14767,081NSETEST-EQ,081NSETEST,,-1.000000,1,,NSE,5.000000,500000,False
13359,KFINTECH-EQ,KFINTECH,,-1.000000,1,,NSE,5.000000,108362,True
13376,UTTAMSUGAR-EQ,UTTAMSUGAR,,-1.000000,1,,NSE,1.000000,394424,False
1497,SHIVAMILLS-EQ,SHIVAMILLS,,-1.000000,1,,NSE,1.000000,282587,False
14889,ASIANTILES-EQ,ASIANTILES,,-1.000000,1,,NSE,1.000000,1882426,False
14947,MOTILALOFS-EQ,MOTILALOFS,,-1.000000,1,,NSE,5.000000,110794,True
13510,AKASH-EQ,AKASH,,-1.000000,1,,NSE,1.000000,551404,False
13511,MUNJALAU-EQ,MUNJALAU,,-1.000000,1,,NSE,1.000000,1001700,False
15039,CERA-EQ,CERA,,-1.000000,1,,NSE,50.000000,16986,False
15068,RELIGARE-EQ,RELIGARE,,-1.000000,1,,NSE,5.000000,420773,False
